ID;NOME;CNPJ;PATRIMONIO;PAIS;SEGMENTO;UNIDADES
1;D'Amore-Beatty;29080639997652;1819903,40;CIV;Security and Investigations;35
2;Johnson, Olson and Beer;72723704781930;1575551,19;SLE;Printing;43
3;Rempel Group;39674552454714;1895002,61;RWA;Management Consulting;2
4;Hilll-Batz;56750955278344;2389076,14;GHA;Oil & Energy;40
5;Mann, D'Amore and Kilback;48953826631401;3120822,18;HRV;Nonprofit Organization Management;54
6;Wintheiser, Dicki and Smith;47263039575772;3002824,46;NLD;Building Materials;33
7;Morissette and Sons;22669987638856;685600,14;BGR;Computer Games;18
8;Mueller and Sons;86170242541787;2914839,00;SGP;Retail;45
9;Macejkovic, Stanton and Renner;84161825554857;1220269,56;SVN;Computer Software;44
10;Boehm-Gerlach;49406948363012;686877,27;CIV;Philanthropy;22
